Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-07-30,2026-07-31,3934,WM SUPERCENTER #1459,Merchandise,20.51,
2026-07-30,2026-07-31,3934,SUBWAY 37129,Dining,5.40,
2026-07-30,2026-07-31,3934,Popeyes 11339,Dining,18.50,
2026-07-29,2026-07-31,9437,Popeyes 11339,Dining,21.77,
2026-07-29,2026-07-30,3934,ALDI 44076,Merchandise,22.65,
2026-07-29,2026-07-30,3934,MCDONALD'S F4925,Dining,3.68,
2026-07-30,2026-07-30,9437,UBER   *TRIP,Other Travel,21.95,
2026-07-30,2026-07-30,9437,UBER   *TRIP,Other Travel,13.62,
2026-07-29,2026-07-29,3934,Greeks Pizzeria GP1009 RE,Dining,15.25,
2026-07-27,2026-07-28,3934,WM SUPERCENTER #1601,Merchandise,39.36,
2026-07-27,2026-07-28,3934,DOMINO'S 2568,Dining,9.80,
2026-07-27,2026-07-28,9437,FANDANGO    *,Entertainment,32.36,
2026-07-27,2026-07-28,9437,UBER   *EATS,Dining,52.07,
2026-07-26,2026-07-27,3934,WM SUPERCENTER #1459,Merchandise,41.98,
2026-07-24,2026-07-27,3934,PARKINDY INDIANAPOLIS,Other,2.50,
2026-07-25,2026-07-27,3934,BURGER KING #21442,Dining,17.49,
2026-07-25,2026-07-27,9437,UBER   *TRIP,Other Travel,31.90,
2026-07-24,2026-07-25,3934,TST* CONDADO TACOS - MASS,Dining,58.12,
2026-07-25,2026-07-25,9437,UBER   *TRIP,Other Travel,34.10,
2026-07-24,2026-07-25,9437,UBER   *ONE MEMBERSHIP,Other Travel,9.99,
2026-07-22,2026-07-23,3934,SPEEDWAY 43828,Gas/Automotive,46.38,
2026-07-22,2026-07-23,9437,UBER   *TRIP,Other Travel,14.35,
2026-07-22,2026-07-23,9437,UBER   *EATS,Dining,29.62,
2026-07-20,2026-07-22,3934,PRONTO BY IOZZOS,Dining,32.70,
2026-07-20,2026-07-22,3934,PRONTO BY IOZZOS,Dining,35.52,
2026-07-21,2026-07-22,9437,UBER   *TRIP,Other Travel,15.04,
2026-07-21,2026-07-22,9437,UBER   *EATS,Dining,34.85,
2026-07-20,2026-07-21,3934,CVS/PHARMACY #06603,Health Care,28.34,
2026-07-20,2026-07-21,3934,SPEEDWAY 43715,Gas/Automotive,6.29,
2026-07-20,2026-07-21,3934,MCDONALD'S F4407,Dining,16.11,
2026-07-20,2026-07-21,3934,Spotify P44CBDA8FF,Phone/Cable,12.99,
2026-07-19,2026-07-20,3934,WM SUPERCENTER #1459,Merchandise,39.25,
2026-07-19,2026-07-20,3934,WAL-MART #3435,Merchandise,7.34,
2026-07-18,2026-07-20,3934,KOHL'S #0134,Merchandise,119.80,
2026-07-18,2026-07-20,3934,SPEEDWAY 46695,Gas/Automotive,43.18,
2026-07-17,2026-07-20,3934,ARAMARK IU NORTH COFFEE,Dining,6.25,
2026-07-17,2026-07-18,3934,PETSMART # 1065,Merchandise,51.33,
2026-07-17,2026-07-18,3934,GET GO #3550,Gas/Automotive,6.72,
2026-07-17,2026-07-18,3934,STARBUCKS 02459,Dining,11.55,
2026-07-17,2026-07-18,3934,NOAHS ANIMAL HOSPITAL LLC,Professional Services,882.15,
2026-07-17,2026-07-18,3934,TST* WILD EGGS - CARMEL,Dining,69.88,
2026-07-16,2026-07-18,9437,KOHL'S #0558,Merchandise,,80.21
2026-07-17,2026-07-18,9437,AMAZON MKTPLACE PMTS,Merchandise,,104.48
2026-07-16,2026-07-17,3934,1203 GREAT CLIPS AT GREEN,Other Services,27.00,
2026-07-16,2026-07-16,3934,CAPITAL ONE MOBILE PYMT,Payment/Credit,,3900.00
2026-07-15,2026-07-16,3934,WAL-MART #3435,Merchandise,26.71,
2026-07-14,2026-07-15,3934,LAMPING CLEANERS- BEECH G,Other Services,15.91,
2026-07-14,2026-07-15,3934,SPEEDWAY 43780,Gas/Automotive,44.24,
2026-07-13,2026-07-15,3934,McDonalds 26729,Dining,13.58,
2026-07-14,2026-07-15,9437,UBER   *EATS,Dining,76.78,
2026-07-12,2026-07-13,3934,WM SUPERCENTER #1459,Merchandise,72.15,
2026-07-12,2026-07-13,3934,NOAHS ANIMAL HOSPITAL LLC,Professional Services,224.25,
2026-07-12,2026-07-13,9437,AMAZON MKTPLACE PMTS,Merchandise,,118.51
2026-07-11,2026-07-13,9437,UBER   *EATS,Dining,28.54,
2026-07-09,2026-07-10,3934,SPEEDWAY 43666,Gas/Automotive,48.45,
2026-07-08,2026-07-10,3934,TACO BELL 0021479,Dining,11.42,
2026-07-08,2026-07-09,3934,NOAHS ANIMAL HOSPITAL LLC,Professional Services,985.15,
2026-07-08,2026-07-09,3934,LAMPING CLEANERS- BEECH G,Other Services,15.91,
2026-07-08,2026-07-09,3934,GEICO  *AUTO,Insurance,525.03,
2026-07-07,2026-07-08,3934,WAL-MART #1459,Merchandise,16.11,
2026-07-07,2026-07-08,9437,AMAZON MKTPLACE PMTS,Merchandise,,19.26
2026-07-06,2026-07-07,3934,ALDI 44076,Merchandise,51.11,
2026-07-06,2026-07-07,3934,WM SUPERCENTER #1459,Merchandise,39.19,
2026-07-06,2026-07-07,3934,MCDONALD'S F4925,Dining,30.45,
2026-07-06,2026-07-07,3934,SPOTIFY,Phone/Cable,12.99,
2026-07-05,2026-07-06,3934,BURGER KING #21442,Dining,21.21,
2026-07-05,2026-07-06,3934,SPEEDWAY 43666,Gas/Automotive,37.44,
2026-07-04,2026-07-06,3934,AMC 6381 INDIANAPOLIS,Entertainment,36.91,
2026-06-30,2026-07-03,3934,P.F.CHANG'S  8400 POS,Dining,68.56,
2026-07-02,2026-07-03,3934,NOAHS ANIMAL HOSPITAL LLC,Professional Services,248.40,
2026-07-01,2026-07-03,3934,ARBYS ECOM 7013,Dining,31.56,
2026-07-01,2026-07-02,9437,FANDANGO    *,Entertainment,47.36,
2026-06-30,2026-07-02,9437,THE ORIGINAL CHICAGO`S PI,Dining,3.39,
2026-06-30,2026-07-01,3934,HCP GARAGE,Gas/Automotive,7.00,
2026-06-30,2026-07-01,3934,SPEEDWAY 43896,Gas/Automotive,40.63,
2026-07-01,2026-07-01,9437,UBER   *TRIP,Other Travel,18.93,
2026-06-30,2026-07-01,9437,BARE WAX AND SPA,Other Services,216.00,
2026-06-30,2026-06-30,9437,UBER   *EATS,Dining,59.56,
2026-06-28,2026-06-30,9437,KOHL'S #0558,Merchandise,,56.68
2026-06-28,2026-06-30,9437,KOHL'S #0558,Merchandise,,67.32
2026-06-28,2026-06-30,9437,KOHL'S #0558,Merchandise,,19.25
2026-06-29,2026-06-30,9437,UBER   *EATS,Dining,74.56,
2026-06-29,2026-06-30,9437,AMAZON MKTPLACE PMTS,Merchandise,,16.45
2026-06-29,2026-06-30,9437,AMAZON MKTPLACE PMTS,Merchandise,,29.36
2026-06-27,2026-06-29,3934,PARKINDY INDIANAPOLIS,Other,3.75,
2026-06-27,2026-06-29,3934,PARKINDY INDIANAPOLIS,Other,1.50,
2026-06-28,2026-06-29,3934,TST*PINS MECHANICAL COMP,Dining,23.18,
2026-06-28,2026-06-29,3934,TST* AXLE'S & GREAT LEGS,Dining,25.89,
2026-06-27,2026-06-29,3934,TST*PIEDRA,Dining,76.49,
2026-06-27,2026-06-29,3934,SPEEDWAY 43710,Gas/Automotive,6.50,
2026-06-25,2026-06-27,3934,MARATHON 239160,Gas/Automotive,5.76,
2026-06-25,2026-06-27,3934,PARKINDY INDIANAPOLIS,Other,2.50,
2026-06-26,2026-06-27,3934,SPEEDWAY 43828,Gas/Automotive,42.50,
2026-06-26,2026-06-27,3934,TST* BRU INDY,Dining,61.42,
2026-06-26,2026-06-27,9437,WWW.KOHLS.COM #0873,Merchandise,256.13,
2026-06-25,2026-06-26,3934,WAL-MART #1459,Health Care,11.78,
2026-06-26,2026-06-26,3934,eBay O*22-14798-21535,Merchandise,11.44,
2026-06-26,2026-06-26,9437,AMAZON MKTPL*GT5JS4YQ3,Merchandise,118.51,
2026-06-24,2026-06-26,9437,KOHL'S #0558,Merchandise,,32.09
2026-06-25,2026-06-26,9437,WWW.KOHLS.COM #0873,Merchandise,19.25,
2026-06-24,2026-06-25,3934,WM SUPERCENTER #1459,Merchandise,51.14,
2026-06-24,2026-06-25,3934,WAL-MART #1459,Merchandise,3.78,
2026-06-23,2026-06-25,3934,MARATHON 239160,Gas/Automotive,5.97,
2026-06-24,2026-06-25,3934,WALMART.COM,Merchandise,15.71,
2026-06-23,2026-06-25,3934,PARKINDY INDIANAPOLIS,Other,2.00,
2026-06-24,2026-06-25,3934,TST* CONDADO TACOS - MASS,Dining,49.05,
2026-06-23,2026-06-25,3934,TACO BELL 3001064,Dining,3.48,
2026-06-23,2026-06-25,3934,TACO BELL 0021479,Dining,12.41,
2026-06-25,2026-06-25,9437,UBER   *ONE MEMBERSHIP,Other Travel,9.99,
2026-06-24,2026-06-25,9437,WWW.KOHLS.COM #0873,Merchandise,64.16,
2026-06-24,2026-06-25,9437,AMAZON MKTPL*950JT4I63,Merchandise,220.57,
2026-06-23,2026-06-24,9437,WWW.KOHLS.COM #0873,Merchandise,100.98,
2026-06-23,2026-06-24,9437,WWW.KOHLS.COM #0873,Merchandise,32.09,
2026-06-23,2026-06-24,9437,AMAZON MKTPL*RT4SY0603,Merchandise,69.40,
2026-06-23,2026-06-24,9437,AMAZON MKTPL*8D4SE9FP3,Merchandise,10.69,
